,Current_Page_Url,Title,Links,Images_with_url,Paragraph,Heading1,Heading2,Heading3,Heading4,Heading5,UnorderList,TableData
0,https://www.namal.edu.pk/department-of-mathematics,Namal Institute,https://namal.edu.pk/,https://namal.edu.pk/uploads/logo22869383.png,Please visit our fundraising website below:,Departments,"
							Overview", ,"
								",To Contribute,"
    ","
								"
1, , ,https://namal.edu.pk/academic-calendar,/ckEditorImages/uploads/userfiles/math_banner.svg,"
	", ,"
							Vision", ,"
								","
					Visiting Namal",Academic Calendar,"
									"
2, , ,https://namal.edu.pk/people#faculty,https://namal.edu.pk/uploads/logo4980416.png,"
	", ,"
							Mission", ,"
								","
					Important Links","
    ","
										"
3, , ,https://namal.edu.pk/quality-enhancement-cell, ,"
							BS Mathematics is a 4-year degree program accredited by Higher Education Commission (HEC). The overall purpose of this program is to serve as the foundation of advancements in the areas of mathematics and to introduce the students with the fundamentals of the core mathematics to prepare them for the emerging future of the mathematics area. However, we aim to set benchmark in producing the most efficient and proficient graduates.", ,"
							Program Educational Objectives", ,"
								","
					Resources",|,"
											Semester 1"
4, , ,https://lms.namal.edu.pk/, ,"
							To provide an environment where students can learn analytical and quantitative reasoning skills and promote Mathematical thinking as a significant part of human thought.", ,"
							Scheme of Studies", ,"
								", ,"   
    ","
									"
5, , ,http://library.namal.edu.pk/, ,"
							The department of Mathematics is committed to the following goals:", ,"
								List of Possible Electives:", , , ,Faculty,"
									"
6, , ,https://namal.edu.pk/contact-us, ,"
							Objectives of the BS (Math) programme are:", ,"
								Disclaimer", , , ,"
    ","
										"
7, , ,#about, ,"
							Total Credit Hours = 135", ,"
							Faculty", , , ,|,"
											Code"
8, , ,https://namal.edu.pk/chairmans-message, ,"
								The details of the program specification and information contained herein are subject to change in accordance with the policies, rules and regulations of the Namal Institute, Mianwali. Such changes will be notified to the enrolled students through email. Course offerings also depend on the availability of faculty of the subject area.", , , , , ,"
    ","
										"
9, , ,https://namal.edu.pk/vision-and-mission, , , , , , , ,QEC,"
											Course"
10, , ,https://namal.edu.pk/core-values, ,"
	 ", , , , , ,"
    ","
										"
11, , ,https://namal.edu.pk/the-namal-story, ,"
	 ", , , , , ,|,"
											Theory"
12, , ,https://namal.edu.pk/namal-knowledge-city, ,"
	 ", , , , , ,"
    ","
										"
