,Current_Page_Url,Title,Links,Images_with_url,Paragraph,Heading1,Heading2,Heading3,Heading4,Heading5,UnorderList,TableData
0,https://namal.edu.pk/department-of-electrical-engineering,Namal Institute,https://namal.edu.pk/,https://namal.edu.pk/uploads/logo22869383.png,Please visit our fundraising website below:,Departments,"
							Overview", , ,To Contribute,"
    ","
								"
1, , ,https://namal.edu.pk/academic-calendar,/ckEditorImages/uploads/userfiles/ee_banner.svg,"
	", ,"
							Vision", , ,"
					Visiting Namal",Academic Calendar,"
									"
2, , ,https://namal.edu.pk/people#faculty,https://namal.edu.pk/uploads/logo4980416.png,"
	", ,"
							Mission", , ,"
					Important Links","
    ","
										"
3, , ,https://namal.edu.pk/quality-enhancement-cell, ,"
							To cultivate individuals with strong engineering foundations, high exposure to emerging technologies and the ability to enhance social progress. In doing so, the department aspires to become a catalyst for communal uplift and technical advancement especially for the local region of Pakistan.", ,"
							Program Educational Objectives", , ,"
					Resources",|,"
											Semester 1"
4, , ,https://lms.namal.edu.pk/, ,"
							The Electrical Engineering Department aims to", ,"
							Program Learning Outcomes", , , ,"   
    ","
									"
5, , ,http://library.namal.edu.pk/, ,"
							The aim of the program is to provide you with a sound grounding in the fundamentals of electrical engineering. The objective of the program is to groom students in such a way that they can:", ,"
							Scheme of Studies", , , ,Faculty,"
									"
6, , ,https://namal.edu.pk/contact-us, ,"
							To be eligible for the award of the undergraduate degree, students will be able to demonstrate following skills:", ,"
								List of Breadth Core 1 & 2 and Electives", , , ,"
    ","
										"
7, , ,#about, ,"
							Since 2019, after the Charter of Namal Institute has been passed through the act of Punjab Assembly, the authorities of the Institute have approved to offer the Degree of BS (EE); It is a four-year program that comprises of eight semesters. During each semester a number of core and elective courses are offered from different knowledge areas ranging from management sciences, mathematics and humanities apart from the core electrical engineering courses.", ,"
								Disclaimer", , , ,|,"
											Code"
8, , ,https://namal.edu.pk/chairmans-message, ,"
							Total Credit Hours = 136", ,"
							Faculty", , , ,"
    ","
										"
9, , ,https://namal.edu.pk/vision-and-mission, ,"
								The details of the program specification and information contained herein are subject to change in accordance with the policies, rules and regulations of the University of Engineering and Technology, Lahore. Such changes will be notified to the enrolled students through email. Course offerings also depend on the availability of faculty of the subject area. The information given above has been adapted from the University of Engineering and Technology, Lahore.", , , , , ,QEC,"
											Course"
10, , ,https://namal.edu.pk/core-values, , , , , , , ,"
    ","
										"
11, , ,https://namal.edu.pk/the-namal-story, , , , , , , ,|,"
											Theory"
12, , ,https://namal.edu.pk/namal-knowledge-city, , , , , , , ,"
    ","
										"
13, , ,https://namal.edu.pk/people, , , , , , , ,NULMS,"
											Lab"
14, , ,https://namal.edu.pk/quality-enhancement-cell, , , , , , , ,"
    ","
										"
15, , ,#academics, , , , , , , ,|,"
											Pre-req"
16, , ,https://namal.edu.pk/academic-calendar, , , , , , , ,"
    ","
									"
17, , ,https://namal.edu.pk/student-handbook, , , , , , , ,Library,"
								"
18, , ,#departments, , , , , , , ,"
    ","
								"
19, , ,#, , , , , , , ,|,"
									"
20, , ,https://namal.edu.pk/department-of-electrical-engineering, , , , , , , ,"
    ","
										"
21, , ,https://namal.edu.pk/department-of-computer-science, , , , , , , ,Contact Us,"
											MTH-121"
22, , ,https://namal.edu.pk/department-of-business-studies, , , , , , , ,"
","
										"
23, , ,https://namal.edu.pk/department-of-mathematics, , , , , , , ,"
        ","
											Calculus"
24, , ,#, , , , , , , ,About        ,"
										"
25, , ,https://namal.edu.pk/office-of-the-registrar, , , , , , , ,        ,"
											3"
26, , ,https://namal.edu.pk/office-of-the-coe, , , , , , , ,"
                ","
										"
27, , ,https://namal.edu.pk/office-of-the-treasurer, , , , , , , ,"

                      ","
											0"
28, , ,#admissions, , , , , , , ,Chairman's Message,"
										"
29, , ,https://namal.edu.pk/apply, , , , , , , ,"
                            ","
											 "
30, , ,https://namal.edu.pk/why-namal, , , , , , , ,Vision And Mission,"
									"
31, , ,https://namal.edu.pk/admission-timeline, , , , , , , ,"
                            ","
									"
32, , ,https://namal.edu.pk/admission-criteria, , , , , , , ,Core Values,"
										"
33, , ,https://namal.edu.pk/entry-test-guidelines, , , , , , , ,"
                            ","
											CS-100"
34, , ,https://namal.edu.pk/financial-aid, , , , , , , ,The Namal Story,"
										"
35, , ,https://namal.edu.pk/fee-structure, , , , , , , ,"
                            ","
											Quantitative & Computational Reasoning"
36, , ,https://namal.edu.pk/deposit-slip, , , , , , , ,Namal Knowledge City,"
										"
37, , ,https://namal.edu.pk/faqs, , , , , , , ,"
                            ","
											3"
38, , ,#life-at-namal, , , , , , , ,People,"
										"
39, , ,https://namal.edu.pk/workshops-and-seminars, , , , , , , ,"
                            ","
											1"
40, , ,https://namal.edu.pk/facilities, , , , , , , ,Quality Enhancement Cell,"
										"
41, , ,https://namal.edu.pk/green-namal, , , , , , , ,"
                      ","
											 "
42, , ,https://namal.edu.pk/news-events, , , , , , , ,"	
            ","
									"
43, , ,https://namal.edu.pk/apply, , , , , , , ,"
        ","
									"
44, , ,, , , , , , , ,Academics        ,"
										"
45, , ,https://www.namalknowledgecity.com/, , , , , , , ,        ,"
											ENG-111"
46, , ,https://namal.edu.pk/academic-calendar, , , , , , , ,"
                ","
										"
47, , ,https://namal.edu.pk/people#faculty, , , , , , , ,"

                      ","
											Technical Writing & Communication"
48, , ,https://namal.edu.pk/quality-enhancement-cell, , , , , , , ,Academic Calendar,"
										"
49, , ,https://lms.namal.edu.pk/, , , , , , , ,"
                            ","
											3"
50, , ,http://library.namal.edu.pk/, , , , , , , ,Student Handbook,"
										"
51, , ,https://namal.edu.pk/contact-us, , , , , , , ,"
                      ","
											0"
52, , ,https://namal.edu.pk/department-of-electrical-engineering, , , , , , , ,"	
            ","
										"
53, , ,https://namal.edu.pk/department-of-computer-science, , , , , , , ,"
        ","
											 "
54, , ,https://namal.edu.pk/department-of-business-studies, , , , , , , ,Departments        ,"
									"
55, , ,https://namal.edu.pk/department-of-mathematics, , , , , , , ,        ,"
									"
56, , ,https://namal.edu.pk/office-of-the-registrar, , , , , , , ,"
                ","
										"
57, , ,https://namal.edu.pk/office-of-the-coe, , , , , , , ,"

                      ","
											EE-131"
58, , ,https://namal.edu.pk/office-of-the-treasurer, , , , , , , ,Academic Departments,"
										"
59, , ,#, , , , , , , ,"
              ","
											Basic Circuit Analysis & Design"
60, , ,#, , , , , , , ,"
                            ","
										"
61, , ,#nav-overview, , , , , , , ,Department Of Electrical Engineering,"
											3"
62, , ,#nav-vision, , , , , , , ,"
                            ","
										"
63, , ,#nav-peo, , , , , , , ,Department Of Computer Science,"
											1"
64, , ,#nav-scheme, , , , , , , ,"
                            ","
										"
65, , ,#nav-faculty, , , , , , , ,Department Of Business Studies,"
											 "
66, , ,/, , , , , , , ,"
                            ","
									"
67, , ,https://www.namalknowledgecity.com, , , , , , , ,Department Of Mathematics,"
									"
68, , ,https://namal.edu.pk/apply, , , , , , , ,"
                            ","
										"
69, , ,/academic-calendar, , , , , , , ,"
              
              ","
											SS-104a"
70, , ,, , , , , , , ,"
                            ","
										"
71, , ,/people#faculty, , , , , , , ,Administrative Departments,"
											Great Books – Ours & the World’s"
72, , ,https://nulms.namal.edu.pk, , , , , , , ,"
              ","
										"
73, , ,http://library.namal.edu.pk, , , , , , , ,"
                            ","
											1"
74, , ,#!, , , , , , , ,Office Of The Registrar,"
										"
75, , ,/facilities, , , , , , , ,"
                            ","
											0"
76, , ,https://www.facebook.com/NAmalInstitute/, , , , , , , ,Office Of The CoE,"
										"
77, , ,https://twitter.com/namaledu, , , , , , , ,"
                            ","
											 "
78, , ,https://www.instagram.com/namalknowledgecity/, , , , , , , ,Office Of The Treasurer,"
									"
79, , ,mailto:info@namal.edu.pk, , , , , , , ,"
                            ","
									"
80, , ,https://www.youtube.com/channel/UCWfFHczAYAn-mfqMgmmKsVQ, , , , , , , ,"
              
              ","
										"
81, , ,https://forecast7.com/en/32d6771d81/namal/, , , , , , , ,"
                      ","
											 "
82, , ,https://namal.edu.pk/, , , , , , , ,"	
            ","
										"
83, , , , , , , , , , ,"
        ","
											13"
84, , , , , , , , , , ,Admissions        ,"
										"
85, , , , , , , , , , ,        ,"
											2"
86, , , , , , , , , , ,"
                ","
										"
87, , , , , , , , , , ,"

                      ","
											 "
88, , , , , , , , , , ,Apply Now,"
									"
89, , , , , , , , , , ,"
                            ","
								"
90, , , , , , , , , , ,Why Namal?,"
"
91, , , , , , , , , , ,"
                            ",								
92, , , , , , , , , , ,Admission Timeline,"
									"
93, , , , , , , , , , ,"
                            ","
										"
94, , , , , , , , , , ,Admission Criteria,"
											Semester 2"
95, , , , , , , , , , ,"
                            ","
									"
96, , , , , , , , , , ,Entry Test Guidelines,"
									"
97, , , , , , , , , , ,"
                            ","
										"
98, , , , , , , , , , ,Financial Aid,"
											Code"
99, , , , , , , , , , ,"
                            ","
										"
100, , , , , , , , , , ,Fee Structure,"
											Course"
101, , , , , , , , , , ,"
                            ","
										"
102, , , , , , , , , , ,Deposit Slip,"
											Theory"
103, , , , , , , , , , ,"
                            ","
										"
104, , , , , , , , , , ,FAQs,"
											Lab"
105, , , , , , , , , , ,"
                      ","
										"
106, , , , , , , , , , ,"	
            ","
											Pre-req"
107, , , , , , , , , , ,"
        ","
									"
108, , , , , , , , , , ,Life At Namal        ,"
								"
109, , , , , , , , , , ,        ,"
								"
110, , , , , , , , , , ,"
                ","
									"
111, , , , , , , , , , ,"

                      ","
										"
112, , , , , , , , , , ,Workshops And Seminars,"
											PH-133"
113, , , , , , , , , , ,"
                            ","
										"
114, , , , , , , , , , ,Facilities,"
											Applied Physics"
115, , , , , , , , , , ,"
                            ","
										"
116, , , , , , , , , , ,Green Namal,"
											3"
117, , , , , , , , , , ,"
                      ","
										"
118, , , , , , , , , , ,"	
            ","
											1"
119, , , , , , , , , , ,"
        ","
										"
120, , , , , , , , , , ,News & Events                ,"
											 "
121, , , , , , , , , , ,"
            ","
									"
122, , , , , , , , , , ,"
        ","
									"
123, , , , , , , , , , ,Apply Online                ,"
										"
124, , , , , , , , , , ,"
            ","
											CS-15X"
125, , , , , , , , , , ,"
        ","
										"
126, , , , , , , , , , ,Contribute,"
											Computer Programming"
127, , , , , , , , , , ,"
    ","
										"
128, , , , , , , , , , ,"
","
											3"
129, , , , , , , , , , ,"
    ","
										"
130, , , , , , , , , , ,Academic Calendar,"
											1"
131, , , , , , , , , , ,"
    ","
										"
132, , , , , , , , , , ,|,"
											CS-100"
133, , , , , , , , , , ,"   
    ","
									"
134, , , , , , , , , , ,Faculty,"
									"
135, , , , , , , , , , ,"
    ","
										"
136, , , , , , , , , , ,|,"
											ENG-12X"
