,Links Tokens,Paragraph Tokens,Heading1 Tokens,Heading2 Tokens,Heading3 Tokens,Heading4 Tokens,Heading5 Tokens,UnorderList Tokens,TableData Tokens
0,academic-calendar,Please,Departments,Office,Heading3,Student,To,Academic,Academic
,Links Tokens,Paragraph Tokens,Heading1 Tokens,Heading2 Tokens,Heading3 Tokens,Heading4 Tokens,Heading5 Tokens,UnorderList Tokens,TableData Tokens
0,academic-calendar,Please,Departments,Office,Heading3,Student,To,Academic,Academic
1,people,visit,Heading1,of, ,Support,Contribute,Calendar,Calendar
2,#,our,Departments,the, ,Office,Functions,|,|
3,faculty,fundraising, ,Registrar, ,(,and,Faculty,Faculty
4,quality-enhancement-cell,website, ,Heading2, ,SSO,Duties,|,|
5,lms.namal.edu.pk,below, ,Office, ,),of,QEC,QEC
6,http,:, ,of, ,Dr.,the,|,|
7,:,Registrar, ,the, ,Rauf,SSO,NULMS,NULMS
8,library.namal.edu.pk,’, ,Controller, ,A.,SSO,|,|
9,contact-us,s, ,of, ,Sheikh,Team,Library,Library
10,#,office, ,Examinations, ,Mr.,Visiting,|,|
11,about,is, ,(, ,Saad,Namal,Contact,Contact
12,chairmans-message,the, ,CoE, ,Feroz,Important,Us,Us
13,vision-and-mission,central, ,), ,Mr.,Links,About,About
14,core-values,",", , , ,Akbar,Resources,Chairman,Chairman
15,the-namal-story,main, , , ,Rehman,Heading5,'s,'s
16,namal-knowledge-city,and, , , ,Mr.,To,Message,Message
17,people,vital, , , ,Ahsan,Contribute,Vision,Vision
18,quality-enhancement-cell,organ, , , ,Ullah,Functions,And,And
19,#,of, , , ,Heading4,and,Mission,Mission
20,academics,the, , , ,Dr.,Duties,Core,Core
21,academic-calendar,Institute, , , ,Ehsan,of,Values,Values
22,student-handbook,., , , ,Ullah,the,The,The
23,#,As, , , ,Khan,Exam,Namal,Namal
24,departments,the, , , ,",",Office,Story,Story
25,#,principal, , , ,T.I,Exam,Namal,Namal
26,department-of-electrical-engineering,office, , , ,Ms.,Team,Knowledge,Knowledge
27,department-of,",", , , ,Asma,Visiting,City,City
28,puter-science,it, , , ,Batool,Namal,People,People
29,department-of-business-studies,liaisons, , , ,Mr.,Important,Quality,Quality
30,department-of-mathematics,with, , , ,Zafar,Links,Enhancement,Enhancement
31,#,the, , , ,Iqbal,Resources,Cell,Cell
32,office-of-the-registrar,external, , , ,Mr., ,Academics,Academics
