,Current_Page_Url,Title,Links,Images_with_url,Paragraph,Heading1,Heading2,Heading3,Heading4,Heading5,UnorderList,TableData
0,https://namal.edu.pk/office-of-the-registrar,Namal Institute,https://namal.edu.pk/,https://namal.edu.pk/uploads/logo22869383.png,Please visit our fundraising website below:,Departments,"
				Office of the Registrar", ,"
				Student Support Office (SSO)",To Contribute,"
    ", 
1, , ,https://namal.edu.pk/academic-calendar,/ckEditorImages/uploads/userfiles/sso logo.png,"Registrar’s office is the central, main and vital organ of the Institute. 
            As the principal office, it liaisons with the external regulatory bodies and 
            also coordinates among all the authorities and the Academic Departments of the Institute. 
            This office is the custodian of the university common seal and organizes the meetings of 
            the chartered bodies of the Institute.", , , ,Dr. Rauf A. Sheikh,"
        Functions and Duties of the SSO",Academic Calendar, 
2, , ,https://namal.edu.pk/people#faculty,https://namal.edu.pk/uploads/workerInfoImg/worker5668803.jpg,"The first and foremost contact for the Namal students is the
Student Support Office (SSO) in the Registrar office.
SSO was established from the start of the Namal College to
provide facilitation to the students under one roof. ", , , ,Mr. Saad Feroz,SSO Team,"
    ", 
3, , ,https://namal.edu.pk/quality-enhancement-cell,https://namal.edu.pk/uploads/logo4980416.png,"
The SSO is mandated with a wide variety of tasks with respect to facilitation 
and guidance of students during their life at campus. It serves as an interface 
between students and faculty/staff members for academic, non-academic, financial 
and administrative issues. At times, students need some reference letter for 
internships or need their documents to get attested from the Institute. SSO is 
the first point of contact for all students to inquire about the course related 
issues like submission of assignments /course work, exam results, leave requests 
and approvals and academic extenuation requests etc. It provides the mechanism for 
mediation and advisory role for students involved in institute’s disputes, appeal 
and disciplinary processes.", , , ,Mr. Akbar Rehman,"
					Visiting Namal",|, 
4, , ,https://lms.namal.edu.pk/, ,"
The main objectives of the office include:
            ", , , ,Mr. Ahsan Ullah,"
					Important Links","   
    ", 
5, , ,http://library.namal.edu.pk/, ,Registrar, , , , ,"
					Resources",Faculty, 
6, , ,https://namal.edu.pk/contact-us, ,Assistant Manager, , , , , ,"
    ", 
7, , ,#about, ,Admission Officer, , , , , ,|, 
8, , ,https://namal.edu.pk/chairmans-message, ,Admission Executive, , , , , ,"
    ", 
9, , ,https://namal.edu.pk/vision-and-mission, , , , , , , ,QEC, 
10, , ,https://namal.edu.pk/core-values, , , , , , , ,"
    ", 
11, , ,https://namal.edu.pk/the-namal-story, , , , , , , ,|, 
12, , ,https://namal.edu.pk/namal-knowledge-city, , , , , , , ,"
    ", 
13, , ,https://namal.edu.pk/people, , , , , , , ,NULMS, 
14, , ,https://namal.edu.pk/quality-enhancement-cell, , , , , , , ,"
    ", 
15, , ,#academics, , , , , , , ,|, 
16, , ,https://namal.edu.pk/academic-calendar, , , , , , , ,"
    ", 
17, , ,https://namal.edu.pk/student-handbook, , , , , , , ,Library, 
18, , ,#departments, , , , , , , ,"
    ", 
19, , ,#, , , , , , , ,|, 
20, , ,https://namal.edu.pk/department-of-electrical-engineering, , , , , , , ,"
    ", 
21, , ,https://namal.edu.pk/department-of-computer-science, , , , , , , ,Contact Us, 
22, , ,https://namal.edu.pk/department-of-business-studies, , , , , , , ,"
", 
23, , ,https://namal.edu.pk/department-of-mathematics, , , , , , , ,"
        ", 
24, , ,#, , , , , , , ,About        , 
25, , ,https://namal.edu.pk/office-of-the-registrar, , , , , , , ,        , 
26, , ,https://namal.edu.pk/office-of-the-coe, , , , , , , ,"
                ", 
27, , ,https://namal.edu.pk/office-of-the-treasurer, , , , , , , ,"

                      ", 
28, , ,#admissions, , , , , , , ,Chairman's Message, 
29, , ,https://namal.edu.pk/apply, , , , , , , ,"
                            ", 
30, , ,https://namal.edu.pk/why-namal, , , , , , , ,Vision And Mission, 
31, , ,https://namal.edu.pk/admission-timeline, , , , , , , ,"
                            ", 
32, , ,https://namal.edu.pk/admission-criteria, , , , , , , ,Core Values, 
33, , ,https://namal.edu.pk/entry-test-guidelines, , , , , , , ,"
                            ", 
34, , ,https://namal.edu.pk/financial-aid, , , , , , , ,The Namal Story, 
35, , ,https://namal.edu.pk/fee-structure, , , , , , , ,"
                            ", 
36, , ,https://namal.edu.pk/deposit-slip, , , , , , , ,Namal Knowledge City, 
37, , ,https://namal.edu.pk/faqs, , , , , , , ,"
                            ", 
38, , ,#life-at-namal, , , , , , , ,People, 
39, , ,https://namal.edu.pk/workshops-and-seminars, , , , , , , ,"
                            ", 
40, , ,https://namal.edu.pk/facilities, , , , , , , ,Quality Enhancement Cell, 
41, , ,https://namal.edu.pk/green-namal, , , , , , , ,"
                      ", 
42, , ,https://namal.edu.pk/news-events, , , , , , , ,"	
            ", 
43, , ,https://namal.edu.pk/apply, , , , , , , ,"
        ", 
44, , ,, , , , , , , ,Academics        , 
45, , ,https://www.namalknowledgecity.com/, , , , , , , ,        , 
46, , ,https://namal.edu.pk/academic-calendar, , , , , , , ,"
                ", 
47, , ,https://namal.edu.pk/people#faculty, , , , , , , ,"

                      ", 
48, , ,https://namal.edu.pk/quality-enhancement-cell, , , , , , , ,Academic Calendar, 
49, , ,https://lms.namal.edu.pk/, , , , , , , ,"
                            ", 
50, , ,http://library.namal.edu.pk/, , , , , , , ,Student Handbook, 
51, , ,https://namal.edu.pk/contact-us, , , , , , , ,"
                      ", 
52, , ,https://namal.edu.pk/department-of-electrical-engineering, , , , , , , ,"	
            ", 
53, , ,https://namal.edu.pk/department-of-computer-science, , , , , , , ,"
        ", 
54, , ,https://namal.edu.pk/department-of-business-studies, , , , , , , ,Departments        , 
55, , ,https://namal.edu.pk/department-of-mathematics, , , , , , , ,        , 
56, , ,https://namal.edu.pk/office-of-the-registrar, , , , , , , ,"
                ", 
57, , ,https://namal.edu.pk/office-of-the-coe, , , , , , , ,"

                      ", 
58, , ,https://namal.edu.pk/office-of-the-treasurer, , , , , , , ,Academic Departments, 
59, , ,#, , , , , , , ,"
              ", 
60, , ,#, , , , , , , ,"
                            ", 
61, , ,/, , , , , , , ,Department Of Electrical Engineering, 
62, , ,https://www.namalknowledgecity.com, , , , , , , ,"
                            ", 
63, , ,https://namal.edu.pk/apply, , , , , , , ,Department Of Computer Science, 
64, , ,/academic-calendar, , , , , , , ,"
                            ", 
65, , ,, , , , , , , ,Department Of Business Studies, 
66, , ,/people#faculty, , , , , , , ,"
                            ", 
67, , ,https://nulms.namal.edu.pk, , , , , , , ,Department Of Mathematics, 
68, , ,http://library.namal.edu.pk, , , , , , , ,"
                            ", 
69, , ,#!, , , , , , , ,"
              
              ", 
70, , ,/facilities, , , , , , , ,"
                            ", 
71, , ,https://www.facebook.com/NAmalInstitute/, , , , , , , ,Administrative Departments, 
72, , ,https://twitter.com/namaledu, , , , , , , ,"
              ", 
73, , ,https://www.instagram.com/namalknowledgecity/, , , , , , , ,"
                            ", 
74, , ,mailto:info@namal.edu.pk, , , , , , , ,Office Of The Registrar, 
75, , ,https://www.youtube.com/channel/UCWfFHczAYAn-mfqMgmmKsVQ, , , , , , , ,"
                            ", 
76, , ,https://forecast7.com/en/32d6771d81/namal/, , , , , , , ,Office Of The CoE, 
77, , ,https://namal.edu.pk/, , , , , , , ,"
                            ", 
78, , , , , , , , , , ,Office Of The Treasurer, 
79, , , , , , , , , , ,"
                            ", 
80, , , , , , , , , , ,"
              
              ", 
81, , , , , , , , , , ,"
                      ", 
82, , , , , , , , , , ,"	
            ", 
83, , , , , , , , , , ,"
        ", 
84, , , , , , , , , , ,Admissions        , 
85, , , , , , , , , , ,        , 
86, , , , , , , , , , ,"
                ", 
87, , , , , , , , , , ,"

                      ", 
88, , , , , , , , , , ,Apply Now, 
89, , , , , , , , , , ,"
                            ", 
90, , , , , , , , , , ,Why Namal?, 
91, , , , , , , , , , ,"
                            ", 
92, , , , , , , , , , ,Admission Timeline, 
93, , , , , , , , , , ,"
                            ", 
94, , , , , , , , , , ,Admission Criteria, 
95, , , , , , , , , , ,"
                            ", 
