,Current_Page_Url,Title,Links,Images_with_url,Paragraph,Heading1,Heading2,Heading3,Heading4,Heading5
0,https://namal.edu.pk/core-values,Namal Institute,https://namal.edu.pk/,https://namal.edu.pk/uploads/logo22869383.png,Please visit our fundraising website below:,About, , , ,To Contribute
1, , ,https://namal.edu.pk/academic-calendar,https://namal.edu.pk/uploads/logo4980416.png,It is part of the Institute’s mission to produce technically , , , , ,"
					Visiting Namal"
2, , ,https://namal.edu.pk/people#faculty, ,"proficient individuals who are
        true demonstrators of these values.", , , , ,"
					Important Links"
3, , ,https://namal.edu.pk/quality-enhancement-cell, , , , , , ,"
					Resources"
4, , ,https://lms.namal.edu.pk/, , , , , , , 
5, , ,http://library.namal.edu.pk/, , , , , , , 
6, , ,https://namal.edu.pk/contact-us, , , , , , , 
7, , ,#about, , , , , , , 
8, , ,https://namal.edu.pk/chairmans-message, , , , , , , 
9, , ,https://namal.edu.pk/vision-and-mission, , , , , , , 
10, , ,https://namal.edu.pk/core-values, , , , , , , 
11, , ,https://namal.edu.pk/the-namal-story, , , , , , , 
12, , ,https://namal.edu.pk/namal-knowledge-city, , , , , , , 
13, , ,https://namal.edu.pk/people, , , , , , , 
14, , ,https://namal.edu.pk/quality-enhancement-cell, , , , , , , 
15, , ,#academics, , , , , , , 
16, , ,https://namal.edu.pk/academic-calendar, , , , , , , 
17, , ,https://namal.edu.pk/student-handbook, , , , , , , 
18, , ,#departments, , , , , , , 
19, , ,#, , , , , , , 
20, , ,https://namal.edu.pk/department-of-electrical-engineering, , , , , , , 
21, , ,https://namal.edu.pk/department-of-computer-science, , , , , , , 
22, , ,https://namal.edu.pk/department-of-business-studies, , , , , , , 
23, , ,https://namal.edu.pk/department-of-mathematics, , , , , , , 
24, , ,#, , , , , , , 
25, , ,https://namal.edu.pk/office-of-the-registrar, , , , , , , 
26, , ,https://namal.edu.pk/office-of-the-coe, , , , , , , 
27, , ,https://namal.edu.pk/office-of-the-treasurer, , , , , , , 
28, , ,#admissions, , , , , , , 
29, , ,https://namal.edu.pk/apply, , , , , , , 
30, , ,https://namal.edu.pk/why-namal, , , , , , , 
31, , ,https://namal.edu.pk/admission-timeline, , , , , , , 
32, , ,https://namal.edu.pk/admission-criteria, , , , , , , 
33, , ,https://namal.edu.pk/entry-test-guidelines, , , , , , , 
34, , ,https://namal.edu.pk/financial-aid, , , , , , , 
35, , ,https://namal.edu.pk/fee-structure, , , , , , , 
36, , ,https://namal.edu.pk/deposit-slip, , , , , , , 
37, , ,https://namal.edu.pk/faqs, , , , , , , 
38, , ,#life-at-namal, , , , , , , 
39, , ,https://namal.edu.pk/workshops-and-seminars, , , , , , , 
40, , ,https://namal.edu.pk/facilities, , , , , , , 
41, , ,https://namal.edu.pk/green-namal, , , , , , , 
42, , ,https://namal.edu.pk/news-events, , , , , , , 
43, , ,https://namal.edu.pk/apply, , , , , , , 
44, , ,, , , , , , , 
45, , ,https://www.namalknowledgecity.com/, , , , , , , 
46, , ,https://namal.edu.pk/academic-calendar, , , , , , , 
47, , ,https://namal.edu.pk/people#faculty, , , , , , , 
48, , ,https://namal.edu.pk/quality-enhancement-cell, , , , , , , 
49, , ,https://lms.namal.edu.pk/, , , , , , , 
50, , ,http://library.namal.edu.pk/, , , , , , , 
51, , ,https://namal.edu.pk/contact-us, , , , , , , 
52, , ,https://namal.edu.pk/chairmans-message, , , , , , , 
53, , ,https://namal.edu.pk/vision-and-mission, , , , , , , 
54, , ,https://namal.edu.pk/core-values, , , , , , , 
55, , ,https://namal.edu.pk/the-namal-story, , , , , , , 
56, , ,https://namal.edu.pk/namal-knowledge-city, , , , , , , 
57, , ,https://namal.edu.pk/people, , , , , , , 
58, , ,https://namal.edu.pk/quality-enhancement-cell, , , , , , , 
59, , ,#, , , , , , , 
60, , ,#, , , , , , , 
61, , ,/, , , , , , , 
62, , ,https://www.namalknowledgecity.com, , , , , , , 
63, , ,https://namal.edu.pk/apply, , , , , , , 
64, , ,/academic-calendar, , , , , , , 
65, , ,, , , , , , , 
66, , ,/people#faculty, , , , , , , 
67, , ,https://nulms.namal.edu.pk, , , , , , , 
68, , ,http://library.namal.edu.pk, , , , , , , 
69, , ,#!, , , , , , , 
70, , ,/facilities, , , , , , , 
71, , ,https://www.facebook.com/NAmalInstitute/, , , , , , , 
72, , ,https://twitter.com/namaledu, , , , , , , 
73, , ,https://www.instagram.com/namalknowledgecity/, , , , , , , 
74, , ,mailto:info@namal.edu.pk, , , , , , , 
75, , ,https://www.youtube.com/channel/UCWfFHczAYAn-mfqMgmmKsVQ, , , , , , , 
76, , ,https://forecast7.com/en/32d6771d81/namal/, , , , , , , 
77, , ,https://namal.edu.pk/, , , , , , , 
