,Current_Page_Url,Title,Links,Images_with_url,Paragraph,Heading1,Heading2,Heading3,Heading4,Heading5
0,https://namal.edu.pk/green-namal,Namal Institute,https://namal.edu.pk/,https://namal.edu.pk/uploads/logo22869383.png,Please visit our fundraising website below:,Life At Namal, , ,"
		Think Green Save The Enviroment",To Contribute
1, , ,https://namal.edu.pk/academic-calendar,/ckEditorImages/uploads/userfiles/Green Namal image1.png,"
		The vision of building Namal Knowledge City thrives on the very premise of protecting our natural, social and physical environment, particularly that of Namal Valley. The objective is to provide an enabling academic and professional environment to our students to nurture a culture of environment protection that is an essential requirement for prosperous and progressive Pakistan.","
	Green Namal", , ,"
				Namal Valley","
					Visiting Namal"
2, , ,https://namal.edu.pk/people#faculty,/ckEditorImages/uploads/userfiles/Green Namal image2.png,"
		The word GREEN symbolizes the colors of paradise while the word Namal (translated ‘anmoal’ in Urdu) means priceless (invaluable) land. The topography, the landscape, the monuments and the cultural history of Namal valley embraces in its fold the very essence of Green Namal philosophy. The natural world is a source of inspiration for its visual beauty that is the basis for life on earth. The Green Namal initiative is meant to motivate all members of the Namal Family to inculcate a sense of responsibility and commitment to become ecologically conscious individuals. We are committed to the notion that a cleaner & greener environment is essential to our future generations to flourish and thrive in healthy environment.", , , ,"
				namal lake","
					Important Links"
3, , ,https://namal.edu.pk/quality-enhancement-cell,/ckEditorImages/uploads/userfiles/Green Namal image3.png,"
				Namal Valley lies some 30 kilometers away from Mianwali city and is nestled amidst the Koh-i-Suleiman and Salt Range along the border area of Punjub and KPK. The valley has a unique topography and boasts numerous lakes of which Namal is most visible. The valley is also speckled with numerous smaller lakes that stretch up to the valley of Soon Sakesar on the highest point of the Salt Range. The economy is largely agrarian with farming and livestock dominating the economic activity in the area. Namal Valley is also known as a sanctuary for many migrant species of birds and animals that thrive in perfect ecosystem.", , , ,"
				namal dam","
					Resources"
4, , ,https://lms.namal.edu.pk/,https://namal.edu.pk/uploads/logo4980416.png,"
				Namal Lake is the most prominent feature of Namal Valley. It has a surface area of approximately 5 square kilometers and is the largest of the many lakes that are spread across the valley. The surrounding area serves as grazing pastures for animals that the inhabitants of the Valley rear as a source of income. It is an attractive tourist resort as people from across the Namal valley and beyond visit this place as a picnic spot. It also serves as a perfect abode for various species of birds like Russian ducks and Siberian cranes that migrate to this place during winters.", , , , , 
5, , ,http://library.namal.edu.pk/, ,"
				Namal College is erected to its West on a high pedestal in the foothill of a scenic mountaintop. The Student Support Office of Namal College is very active through various student societies to make the best use of this natural gift for recreational, sports and academic activities.", , , , , 
6, , ,https://namal.edu.pk/contact-us, ,"
				The dam was built by the British Government in 1913 to conserve water coming from numerous streams of water that eventually gave shape to what is now Namal Lake. It was aimed at creating a water resource for irrigating vast tracts of barren land to the western side of Mianwali. For over a century the dam has served as a constant source of precious water for the farmers in the area. It also serves as an exciting excursion point for the tourists as Namal Lake winds through the mountains that make it an attractive point for boating across the lake up to the dam.", , , , , 
7, , ,#about, , , , , , , 
8, , ,https://namal.edu.pk/chairmans-message, , , , , , , 
9, , ,https://namal.edu.pk/vision-and-mission, , , , , , , 
10, , ,https://namal.edu.pk/core-values, , , , , , , 
11, , ,https://namal.edu.pk/the-namal-story, , , , , , , 
12, , ,https://namal.edu.pk/namal-knowledge-city, , , , , , , 
13, , ,https://namal.edu.pk/people, , , , , , , 
14, , ,https://namal.edu.pk/quality-enhancement-cell, , , , , , , 
15, , ,#academics, , , , , , , 
16, , ,https://namal.edu.pk/academic-calendar, , , , , , , 
17, , ,https://namal.edu.pk/student-handbook, , , , , , , 
18, , ,#departments, , , , , , , 
19, , ,#, , , , , , , 
20, , ,https://namal.edu.pk/department-of-electrical-engineering, , , , , , , 
21, , ,https://namal.edu.pk/department-of-computer-science, , , , , , , 
22, , ,https://namal.edu.pk/department-of-business-studies, , , , , , , 
23, , ,https://namal.edu.pk/department-of-mathematics, , , , , , , 
24, , ,#, , , , , , , 
25, , ,https://namal.edu.pk/office-of-the-registrar, , , , , , , 
26, , ,https://namal.edu.pk/office-of-the-coe, , , , , , , 
27, , ,https://namal.edu.pk/office-of-the-treasurer, , , , , , , 
28, , ,#admissions, , , , , , , 
29, , ,https://namal.edu.pk/apply, , , , , , , 
30, , ,https://namal.edu.pk/why-namal, , , , , , , 
31, , ,https://namal.edu.pk/admission-timeline, , , , , , , 
32, , ,https://namal.edu.pk/admission-criteria, , , , , , , 
33, , ,https://namal.edu.pk/entry-test-guidelines, , , , , , , 
34, , ,https://namal.edu.pk/financial-aid, , , , , , , 
35, , ,https://namal.edu.pk/fee-structure, , , , , , , 
36, , ,https://namal.edu.pk/deposit-slip, , , , , , , 
37, , ,https://namal.edu.pk/faqs, , , , , , , 
38, , ,#life-at-namal, , , , , , , 
39, , ,https://namal.edu.pk/workshops-and-seminars, , , , , , , 
40, , ,https://namal.edu.pk/facilities, , , , , , , 
41, , ,https://namal.edu.pk/green-namal, , , , , , , 
42, , ,https://namal.edu.pk/news-events, , , , , , , 
43, , ,https://namal.edu.pk/apply, , , , , , , 
44, , ,, , , , , , , 
45, , ,https://www.namalknowledgecity.com/, , , , , , , 
46, , ,https://namal.edu.pk/academic-calendar, , , , , , , 
47, , ,https://namal.edu.pk/people#faculty, , , , , , , 
48, , ,https://namal.edu.pk/quality-enhancement-cell, , , , , , , 
49, , ,https://lms.namal.edu.pk/, , , , , , , 
50, , ,http://library.namal.edu.pk/, , , , , , , 
51, , ,https://namal.edu.pk/contact-us, , , , , , , 
